序号,学校全称,招生代码,所属区,办别,学校类型,备注
1,上海市格致中学,012001,黄浦区,公办,市实验性示范性高中,含国际课程班
2,上海市大同中学,012003,黄浦区,公办,市实验性示范性高中,含国际课程班
3,上海市向明中学,012005,黄浦区,公办,市实验性示范性高中,
4,上海外国语大学附属大境中学,012007,黄浦区,公办,市实验性示范性高中,
5,上海市光明中学,012008,黄浦区,公办,市实验性示范性高中,
6,上海市敬业中学,012009,黄浦区,公办,市实验性示范性高中,
7,上海市卢湾高级中学,012010,黄浦区,公办,市实验性示范性高中,含国际课程班
8,上海市格致中学(奉贤校区),012002,黄浦区,公办,享受市实验性示范性高中招生政策高中,
9,上海市向明中学(浦江校区),012006,黄浦区,公办,享受市实验性示范性高中招生政策高中,
10,上海市第八中学,013001,黄浦区,公办,区实验性示范性高中,上海市男子高中基地实验班参照市实验性示范性高中的自主招生录取方式
11,上海市第十中学,013003,黄浦区,公办,区实验性示范性高中,
12,上海理工大学附属储能中学,013004,黄浦区,公办,区实验性示范性高中,
13,上海市金陵中学,014001,黄浦区,公办,一般高中,
14,上海市市南中学,014003,黄浦区,公办,一般高中,
15,上海音乐学院附属黄浦比乐中学,014004,黄浦区,公办,一般高中,
16,上海市同济黄浦设计创意中学,014006,黄浦区,公办,一般高中,
17,上海市第二中学,042001,徐汇区,公办,市实验性示范性高中,
18,上海市南洋模范中学,042008,徐汇区,公办,市实验性示范性高中,
19,上海市位育中学,042035,徐汇区,公办,市实验性示范性高中,
20,上海市南洋中学,043015,徐汇区,公办,市实验性示范性高中,
21,上海市第二中学(梅陇校区),042002,徐汇区,公办,享受市实验性示范性高中招生政策高中,
22,复旦大学附属中学徐汇分校,042036,徐汇区,公办,享受市实验性示范性高中招生政策高中,
23,上海市徐汇中学,044109,徐汇区,公办,区实验性示范性高中(市特色普通高中),
24,上海市紫竹园中学,044223,徐汇区,公办,市特色普通高中,
25,上海市中国中学,044103,徐汇区,公办,区实验性示范性高中,
26,上海市第五十四中学,044107,徐汇区,公办,区实验性示范性高中,
27,上海市第四中学,044111,徐汇区,公办,区实验性示范性高中,
28,上海市西南位育中学,044162,徐汇区,民办,区实验性示范性高中,含国际课程班
29,上海市世外中学,041363,徐汇区,民办,一般高中,国际课程班
30,上海市民办西南高级中学,044083,徐汇区,民办,一般高中,
31,上海市零陵中学,044114,徐汇区,公办,一般高中,
32,华东理工大学附属中学,044133,徐汇区,公办,一般高中,
33,上海市西南模范中学,044164,徐汇区,民办,一般高中,
34,上海市徐汇区董恒甫高级中学,044239,徐汇区,公办,一般高中,
35,上海市位育附属徐汇科技实验中学,044101,徐汇区,公办,区实验性示范性高中,
36,上海市第三女子中学,052001,长宁区,公办,市实验性示范性高中,
37,上海市延安中学,052002,长宁区,公办,市实验性示范性高中,
38,上海市复旦中学,053004,长宁区,公办,市实验性示范性高中,
39,华东政法大学附属中学,054013,长宁区,公办,区实验性示范性高中(市特色普通高中),
40,华东师范大学附属天山学校,053003,长宁区,公办,区实验性示范性高中,
41,上海市建青实验学校,053005,长宁区,公办,区实验性示范性高中,
42,上海市仙霞高级中学,054030,长宁区,公办,区实验性示范性高中,
43,上海市西郊学校,054010,长宁区,公办,一般高中,
44,上海市民办新虹桥中学,054043,长宁区,民办,一般高中,
45,上海市市西中学,062001,静安区,公办,市实验性示范性高中,含国际课程班
46,上海市育才中学,062002,静安区,公办,市实验性示范性高中,
47,上海市新中高级中学,062003,静安区,公办,市实验性示范性高中,
48,上海市市北中学,062004,静安区,公办,市实验性示范性高中,
49,上海市回民中学,062011,静安区,公办,市实验性示范性高中,
50,上海市第六十中学,063004,静安区,公办,市实验性示范性高中,
51,上海市华东模范中学,064001,静安区,公办,市实验性示范性高中,
52,上海戏剧学院附属高级中学,064004,静安区,公办,区实验性示范性高中(市特色普通高中),
53,上海市民立中学,063001,静安区,公办,区实验性示范性高中,
54,上海市第一中学,063002,静安区,公办,区实验性示范性高中,
55,上海市风华中学,063003,静安区,公办,区实验性示范性高中,
56,上海市彭浦中学,063007,静安区,公办,区实验性示范性高中,
