区县,高中学校,录取分数线,是否完成,招生计划数,总分,语文,数学,英语
嘉定区,上海市格致中学,729.5,否,50,390.5,120,126,142
嘉定区,上海市大同中学,730,否,50,398,128,127,133
嘉定区,上海市光明中学,701,否,50,386,123,126,118
嘉定区,上海市卢湾高级中学,691.5,否,50,373.5,123,110,123
嘉定区,上海市第二中学,721.5,否,50,396.5,125,128,132
嘉定区,上海市南洋模范中学,742.5,否,50,406.5,135,130,138
嘉定区,上海市上海中学,759,否,50,424,146,134,140
嘉定区,上海市位育中学,746.5,否,50,408.5,133,135,140
嘉定区,复旦大学附属中学徐汇分校,754.5,否,50,425,141,139,135
嘉定区,上海市南洋中学,715.5,否,50,388.5,125,129,130
嘉定区,上海市第三女子中学,726.5,否,50,403,136,129,127
嘉定区,上海市延安中学,738,否,50,412,139,129,138
嘉定区,上海市复旦中学,713.5,否,50,387.5,125,130,136
嘉定区,上海市育才中学,723,否,50,397,144,122,138
嘉定区,上海市新中高级中学,693,否,50,380,133,118,126
嘉定区,上海市市北中学,698,否,50,378,127,117,128
嘉定区,上海市回民中学,675,否,50,357,113,116,120
嘉定区,上海市华东模范中学,686,否,50,363,114,121,133
嘉定区,上海市晋元高级中学,723,否,50,394,127,125,134
嘉定区,上海市曹杨第二中学,739.5,否,50,414,133,138,129
嘉定区,上海市宜川中学,694,否,50,366,112,123,131
嘉定区,华东师范大学第二附属中学（普陀校区）,751.5,否,50,420.5,144,141,136
嘉定区,复旦大学附属复兴中学,727.5,否,50,408.5,136,128,122
嘉定区,华东师范大学第一附属中学,719.5,否,50,398,140,124,139
嘉定区,上海财经大学附属北郊高级中学,689,否,50,378,117,121,117
嘉定区,上海市杨浦高级中学,721.5,否,50,401,126,130,130
嘉定区,上海市控江中学,725.5,否,50,397.5,125,127,131
嘉定区,上海交通大学附属中学,762.5,否,50,420.5,148,132,144
嘉定区,复旦大学附属中学,761.5,否,50,427.5,142,137,140
嘉定区,同济大学第一附属中学,720,否,50,389,121,133,132
嘉定区,上海市七宝中学,750.5,否,50,415.5,136,136,141
嘉定区,华东师范大学第二附属中学闵行紫竹分校,745.5,否,50,415.5,138,131,136
嘉定区,上海师范大学附属中学闵行分校,728.5,否,50,392.5,127,123,138
嘉定区,上海市闵行中学,707,否,50,394,133,123,120
嘉定区,上海市行知中学,726,否,50,391.5,122,128,142
嘉定区,上海大学附属中学,723,否,50,395,130,123,133
嘉定区,上海师范大学附属中学宝山分校,712,否,50,377,118,121,141
嘉定区,上海市吴淞中学,708,否,50,389,121,122,130
嘉定区,华东师范大学第二附属中学（宝山校区）,744.5,否,50,408.5,135,128,139
嘉定区,上海市嘉定区第一中学,739.5,否,50,411.5,132,137,125
嘉定区,上海交通大学附属中学嘉定分校,760,否,50,416,138,130,146
嘉定区,上海师范大学附属中学嘉定新城分校,730,否,50,401,132,125,133
嘉定区,上海中学东校,732.5,否,50,394.5,139,125,141
嘉定区,上海市建平中学,679.5,否,50,368,123,109,125
嘉定区,上海市进才中学,717,否,50,390,134,123,133
嘉定区,华东师范大学第二附属中学,754,否,50,421,146,130,141
嘉定区,上海南汇中学,693.5,否,50,394,126,132,108
嘉定区,上海市浦东复旦附中分校,745,否,50,408.5,136,130,138
嘉定区,上海师范大学附属中学,726,否,50,399.5,123,129,129
嘉定区,上海市洋泾中学,722.5,否,50,390.5,129,125,137
嘉定区,上海市高桥中学,694.5,否,50,375.5,128,109,125
嘉定区,上海市川沙中学,716,否,50,383,128,117,144
嘉定区,上海市金山中学,741.5,否,50,414.5,138,132,134
嘉定区,华东师范大学第三附属中学,698,否,50,376,111,124,127
嘉定区,上海市松江二中,731.5,否,50,400.5,136,124,136
嘉定区,上海市松江一中,700,否,50,381.5,131,122,130
嘉定区,上海外国语大学附属外国语学校松江云间中学,730.5,否,50,402.5,128,130,130
嘉定区,上海市青浦高级中学,708.5,否,50,389.5,132,135,131
嘉定区,复旦大学附属中学青浦分校,752.5,否,50,421.5,145,132,133
嘉定区,上海市朱家角中学,703,否,50,381,124,122,125
嘉定区,上海市奉贤中学,730.5,否,50,401.5,133,125,130
嘉定区,上海市崇明中学,699.5,否,50,375.5,112,122,127
奉贤区,上海市格致中学（奉贤校区）,726,否,50,396,128,125,136
奉贤区,上海市第二中学,716.5,否,50,395.5,140,117,133
奉贤区,上海市上海中学,765.5,否,50,427.5,144,137,140
奉贤区,上海市位育中学,738.5,否,50,408,135,130,137
奉贤区,上海市南洋中学,701,否,50,382,120,125,122
奉贤区,上海市复旦中学,723,否,50,389,136,121,138
奉贤区,上海市育才中学,709.5,否,50,393.5,131,130,124
奉贤区,上海市晋元高级中学,718.5,否,50,398.5,138,121,123
奉贤区,上海市宜川中学,664.5,否,50,350.5,112,120,123
奉贤区,华东师范大学第一附属中学,729,否,50,400,136,125,134
奉贤区,上海市杨浦高级中学,703.5,否,50,391.5,127,128,125
奉贤区,上海交通大学附属中学,747,否,50,416,141,132,137
奉贤区,复旦大学附属中学,753,否,50,408,141,126,146
奉贤区,上海市七宝中学,752.5,否,50,419.5,150,127,137
奉贤区,上海师范大学附属中学闵行分校,724.5,否,50,399,126,128,131
奉贤区,上海交通大学附属中学闵行分校,741.5,否,50,413.5,132,135,136
奉贤区,上海市闵行中学,718,否,50,393,129,123,127
奉贤区,上海市行知中学,707.5,否,50,387.5,124,124,128
奉贤区,上海大学附属中学,706.5,否,50,384.5,128,119,132
奉贤区,上海市吴淞中学,694,否,50,374.5,128,113,132
奉贤区,华东师范大学第二附属中学（宝山校区）,742,否,50,401,133,126,144
奉贤区,上海市嘉定区第一中学,710,否,50,388,114,133,132
奉贤区,上海师范大学附属中学嘉定新城分校,708,否,50,391,124,136,126
奉贤区,上海中学东校,729.5,否,50,400,135,120,136
奉贤区,上海市建平中学,746,否,50,412,137,132,140
奉贤区,上海市进才中学,735,否,50,404,132,126,135
奉贤区,华东师范大学第二附属中学,743.5,否,50,410.5,142,123,134
奉贤区,上海南汇中学,703.5,否,50,381.5,131,121,134
奉贤区,上海师范大学附属中学,675.5,否,50,378.5,118,121,113
奉贤区,上海市洋泾中学,704,否,50,389,133,120,129
奉贤区,上海市高桥中学,693.5,否,50,375,119,126,120
奉贤区,上海市川沙中学,707.5,否,50,393,126,129,124.5
