区县,初级中学,高中学校,录取分数线,是否完成,招生计划数,总分,语文,数学,英语
嘉定区,上海市嘉定区启良中学,上海市嘉定区第一中学,721.5,否,50,384.5,129,128,142
嘉定区,上海市嘉定区启良中学,上海交通大学附属中学嘉定分校,726.5,否,50,399.5,139,129,139
嘉定区,上海市嘉定区方泰中学,上海市嘉定区第一中学,730,否,50,403,133,129,130
嘉定区,上海市嘉定区方泰中学,上海交通大学附属中学嘉定分校,733.5,否,50,397,129,128,139
嘉定区,上海市嘉定区方泰中学,华东师范大学第二附属中学,735,否,50,401,133,126,132
嘉定区,上海市嘉定区迎园中学,上海市嘉定区第一中学,729,否,50,403,134,126,134
嘉定区,上海市嘉定区迎园中学,上海交通大学附属中学嘉定分校,737,否,50,405,139,128,138
嘉定区,上海市嘉定区南苑中学,上海市嘉定区第一中学,716,否,50,390,137,123,133
嘉定区,上海市嘉定区南苑中学,上海交通大学附属中学嘉定分校,729,否,50,399,134,123,134
嘉定区,上海市嘉定区黄渡中学,上海市嘉定区第一中学,722.5,否,50,392.5,141,117,137
嘉定区,上海市嘉定区黄渡中学,上海交通大学附属中学嘉定分校,730.5,否,50,398.5,139,121,138
嘉定区,上海市嘉定区黄渡中学,华东师范大学第二附属中学,741,否,50,409,145,127,138
嘉定区,上海市嘉定区徐行中学,上海市嘉定区第一中学,697.5,否,50,382,130,119,128
嘉定区,上海市嘉定区徐行中学,上海交通大学附属中学嘉定分校,690.5,否,50,365.5,124,117,134
嘉定区,上海市嘉定区马陆育才联合中学,上海市嘉定区第一中学,703.5,否,50,380.5,120,121,133
嘉定区,上海市嘉定区马陆育才联合中学,华东师范大学第二附属中学,741.5,否,50,409.5,142,124,134
嘉定区,上海市民办嘉一联合中学,上海市上海中学,757.5,否,50,420.5,137,136,139
嘉定区,上海市民办嘉一联合中学,上海市嘉定区第一中学,726.5,否,50,402.5,141,124,133
嘉定区,上海市民办嘉一联合中学,上海交通大学附属中学嘉定分校,743,否,50,409,143,122,138
嘉定区,上海市嘉定区丰庄中学,上海市上海中学,752,否,50,410,136,127,143
嘉定区,上海市嘉定区丰庄中学,上海市嘉定区第一中学,709.5,否,50,390.5,138,120,127
嘉定区,上海市嘉定区丰庄中学,上海交通大学附属中学嘉定分校,730,否,50,399,132,128,135
嘉定区,上海市嘉定区外冈中学,上海市嘉定区第一中学,693.5,否,50,370.5,124,122,134
嘉定区,上海市嘉定区外冈中学,上海交通大学附属中学嘉定分校,715.5,否,50,394.5,149,118,130
嘉定区,上海民办华曜嘉定初级中学,上海市嘉定区第一中学,722,否,50,393,136,118,129
嘉定区,上海民办华曜嘉定初级中学,上海交通大学附属中学嘉定分校,747.5,否,50,411.5,138,128,140
嘉定区,上海市嘉定区震川中学,上海市嘉定区第一中学,725,否,50,398,142,120,134
嘉定区,上海市嘉定区震川中学,上海交通大学附属中学嘉定分校,733.5,否,50,402.5,140,127,141
嘉定区,上海大学附属嘉定留云中学,上海市嘉定区第一中学,720,否,50,400,133,128,122
嘉定区,上海大学附属嘉定留云中学,上海交通大学附属中学嘉定分校,734,否,50,398.5,137,120,140
嘉定区,交大附中附属嘉定德富中学,上海市嘉定区第一中学,714.5,否,50,396.5,123,132,120
嘉定区,交大附中附属嘉定德富中学,上海交通大学附属中学嘉定分校,750,否,50,415,143,128,138
嘉定区,同济大学附属实验中学,上海市嘉定区第一中学,719,否,50,394,133,127,131
嘉定区,同济大学附属实验中学,上海交通大学附属中学嘉定分校,750,否,50,415,134,133,138
嘉定区,上海市嘉定区华江中学,上海市嘉定区第一中学,725.5,否,50,405.5,135,126,123
嘉定区,上海市嘉定区华江中学,上海交通大学附属中学嘉定分校,739,否,50,408,130,132,131
嘉定区,上海市嘉定区新城实验中学,上海市嘉定区第一中学,722.5,否,50,398.5,133,124,128
嘉定区,上海市嘉定区新城实验中学,上海交通大学附属中学嘉定分校,744,否,50,406,137,126,144
嘉定区,上海市嘉定区南翔中学,上海市嘉定区第一中学,723,否,50,397,131,127,133
嘉定区,上海市嘉定区南翔中学,上海交通大学附属中学嘉定分校,739,否,50,401,139,119,142
嘉定区,上海市嘉定区疁城实验学校,上海交通大学附属中学,695.5,否,50,376.5,131,111,134
嘉定区,上海市嘉定区疁城实验学校,上海市嘉定区第一中学,724.5,否,50,393.5,129,127,134
嘉定区,上海市嘉定区疁城实验学校,上海交通大学附属中学嘉定分校,732,否,50,402,132,133,132
嘉定区,上海市嘉定区戬浜学校,上海市上海中学,728.5,否,50,398,134,126,141
嘉定区,上海市嘉定区戬浜学校,上海市嘉定区第一中学,702,否,50,385,134,127,129
嘉定区,上海市嘉定区戬浜学校,上海交通大学附属中学嘉定分校,723.5,否,50,393.5,133,123,137
嘉定区,上海市嘉定区朱桥学校,上海交通大学附属中学,752,否,50,416,146,128,143
嘉定区,上海市嘉定区朱桥学校,上海市嘉定区第一中学,714,否,50,390,134,124,132
嘉定区,上海市嘉定区朱桥学校,上海交通大学附属中学嘉定分校,736.5,否,50,403.5,137,126,135
嘉定区,上海市嘉定区苏民学校,复旦大学附属中学,751.5,否,50,412.5,140,127,142
