所属区,初中学校代码,初中学校名称,招生高中名称,招生高中代码,分配名额数
静安区,61001,上海市市西初级中学,上海市市西中学,62001,10
静安区,61001,上海市市西初级中学,上海市育才中学,62002,9
静安区,61001,上海市市西初级中学,上海市新中高级中学,62003,9
静安区,61001,上海市市西初级中学,上海市市北中学,62004,10
静安区,61001,上海市市西初级中学,上海市回民中学,62011,5
静安区,61001,上海市市西初级中学,上海市第六十中学,63004,7
静安区,61001,上海市市西初级中学,上海市华东模范中学,64001,5
静安区,61002,上海市育才初级中学,上海市市西中学,62001,5
静安区,61002,上海市育才初级中学,上海市育才中学,62002,5
静安区,61002,上海市育才初级中学,上海市新中高级中学,62003,5
静安区,61002,上海市育才初级中学,上海市市北中学,62004,5
静安区,61002,上海市育才初级中学,上海市回民中学,62011,3
静安区,61002,上海市育才初级中学,上海市第六十中学,63004,4
静安区,61002,上海市育才初级中学,上海市华东模范中学,64001,3
静安区,61003,上海市静安区协和双语培明学校,上海市市西中学,62001,2
静安区,61003,上海市静安区协和双语培明学校,上海市育才中学,62002,2
静安区,61003,上海市静安区协和双语培明学校,上海市新中高级中学,62003,2
静安区,61003,上海市静安区协和双语培明学校,上海市市北中学,62004,2
静安区,61003,上海市静安区协和双语培明学校,上海市回民中学,62011,2
静安区,61003,上海市静安区协和双语培明学校,上海市第六十中学,63004,2
静安区,61003,上海市静安区协和双语培明学校,上海市华东模范中学,64001,2
静安区,61003,上海市静安区协和双语培明学校,华东师范大学第二附属中学,152003,1
静安区,61005,上海市时代中学,上海市市西中学,62001,2
静安区,61005,上海市时代中学,上海市育才中学,62002,2
静安区,61005,上海市时代中学,上海市新中高级中学,62003,2
静安区,61005,上海市时代中学,上海市市北中学,62004,2
静安区,61005,上海市时代中学,上海市回民中学,62011,2
静安区,61005,上海市时代中学,上海市第六十中学,63004,2
静安区,61005,上海市时代中学,上海市华东模范中学,64001,2
静安区,61005,上海市时代中学,复旦大学附属中学,102057,1
静安区,61008,上海市五四中学,上海市市西中学,62001,3
静安区,61008,上海市五四中学,上海市育才中学,62002,2
静安区,61008,上海市五四中学,上海市新中高级中学,62003,2
静安区,61008,上海市五四中学,上海市市北中学,62004,3
静安区,61008,上海市五四中学,上海市回民中学,62011,2
静安区,61008,上海市五四中学,上海市第六十中学,63004,2
静安区,61008,上海市五四中学,上海市华东模范中学,64001,2
静安区,61009,民办上海上外静安外国语中学,上海市市西中学,62001,4
静安区,61009,民办上海上外静安外国语中学,上海市育才中学,62002,4
静安区,61009,民办上海上外静安外国语中学,上海市新中高级中学,62003,4
静安区,61009,民办上海上外静安外国语中学,上海市市北中学,62004,4
静安区,61009,民办上海上外静安外国语中学,上海市回民中学,62011,3
静安区,61009,民办上海上外静安外国语中学,上海市第六十中学,63004,3
静安区,61009,民办上海上外静安外国语中学,上海市华东模范中学,64001,3
静安区,61050,上海市静安区市北初级中学北校,上海市市西中学,62001,7
