序号,学校招生代码,学校名称,所属区,办别,学校类型,寄宿情况,合计,其中:市级优秀体育学生,其中:市级艺术骨干学生
1,042032,上海市上海中学,上海市,公办,市实验性示范性高中,全部寄宿,165,0,0
2,102056,上海交通大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,203,8,11
3,102057,复旦大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,161,4,8
4,152003,华东师范大学第二附属中学,上海市,公办,市实验性示范性高中,部分寄宿,163,3,2
5,152006,上海师范大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,85,6,7
6,155001,上海市实验学校,上海市,公办,市实验性示范性高中,部分寄宿,27,1,1
7,012001,上海市格致中学,黄浦区,公办,市实验性示范性高中,部分寄宿,39,4,6
8,012003,上海市大同中学,黄浦区,公办,市实验性示范性高中,部分寄宿,46,10,7
9,012005,上海市向明中学,黄浦区,公办,市实验性示范性高中,无寄宿,30,4,3
10,012007,上海外国语大学附属大境中学,黄浦区,公办,市实验性示范性高中,部分寄宿,36,5,2
11,012008,上海市光明中学,黄浦区,公办,市实验性示范性高中,无寄宿,40,7,4
12,012009,上海市敬业中学,黄浦区,公办,市实验性示范性高中,无寄宿,34,3,2
13,012010,上海市卢湾高级中学,黄浦区,公办,市实验性示范性高中,部分寄宿,37,2,6
14,012002,上海市格致中学(奉贤校区),黄浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,25,2,2
15,012006,上海市向明中学(浦江校区),黄浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,20,0,0
16,042001,上海市第二中学,徐汇区,公办,市实验性示范性高中,无寄宿,30,0,3
17,042008,上海市南洋模范中学,徐汇区,公办,市实验性示范性高中,部分寄宿,61,5,10
18,042035,上海市位育中学,徐汇区,公办,市实验性示范性高中,全部寄宿,54,6,2
19,043015,上海市南洋中学,徐汇区,公办,市实验性示范性高中,部分寄宿,50,8,2
20,042002,上海市第二中学(梅陇校区),徐汇区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,33,6,0
21,042036,复旦大学附属中学徐汇分校,徐汇区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,16,0,0
22,044109,上海市徐汇中学,徐汇区,公办,区实验性示范性高中(市特色普通高中),无寄宿,65,2,8
23,044223,上海市紫竹园中学,徐汇区,公办,市特色普通高中,无寄宿,31,0,0
24,052001,上海市第三女子中学,长宁区,公办,市实验性示范性高中,部分寄宿,48,10,12
25,052002,上海市延安中学,长宁区,公办,市实验性示范性高中,全部寄宿,57,10,10
26,053004,上海市复旦中学,长宁区,公办,市实验性示范性高中,全部寄宿,38,5,6
27,054013,华东政法大学附属中学,长宁区,公办,区实验性示范性高中(市特色普通高中),无寄宿,24,0,0
28,062001,上海市市西中学,静安区,公办,市实验性示范性高中,无寄宿,52,4,12
29,062002,上海市育才中学,静安区,公办,市实验性示范性高中,全部寄宿,38,2,2
30,062003,上海市新中高级中学,静安区,公办,市实验性示范性高中,部分寄宿,50,11,5
31,062004,上海市市北中学,静安区,公办,市实验性示范性高中,无寄宿,48,4,6
32,062011,上海市回民中学,静安区,公办,市实验性示范性高中,部分寄宿,35,8,0
33,063004,上海市第六十中学,静安区,公办,市实验性示范性高中,无寄宿,33,4,2
34,064001,上海市华东模范中学,静安区,公办,市实验性示范性高中,无寄宿,31,8,0
35,072001,上海市晋元高级中学,普陀区,公办,市实验性示范性高中,全部寄宿,49,4,2
36,072002,上海市曹杨第二中学,普陀区,公办,市实验性示范性高中,部分寄宿,51,5,4
37,073003,上海市宜川中学,普陀区,公办,市实验性示范性高中,无寄宿,46,2,1
38,073082,华东师范大学第二附属中学(普陀校区),普陀区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,16,0,0
39,073004,上海市曹杨中学,普陀区,公办,区实验性示范性高中(市特色普通高中),无寄宿,60,0,1
40,074005,同济大学第二附属中学,普陀区,公办,区实验性示范性高中(市特色普通高中),无寄宿,63,3,0
41,074007,上海市甘泉外国语中学,普陀区,公办,区实验性示范性高中(市特色普通高中),部分寄宿,69,11,0
42,092001,复旦大学附属复兴中学,虹口区,公办,市实验性示范性高中,部分寄宿,51,6,6
43,092002,华东师范大学第一附属中学,虹口区,公办,市实验性示范性高中,部分寄宿,42,3,2
44,093001,上海财经大学附属北郊高级中学,虹口区,公办,市实验性示范性高中,无寄宿,37,5,3
45,102004,上海市杨浦高级中学,杨浦区,公办,市实验性示范性高中,部分寄宿,61,3,6
46,102032,上海市控江中学,杨浦区,公办,市实验性示范性高中,部分寄宿,64,2,10
47,103002,同济大学第一附属中学,杨浦区,公办,市实验性示范性高中,部分寄宿,75,21,11
48,103039,上海理工大学附属中学,杨浦区,公办,区实验性示范性高中(市特色普通高中),无寄宿,52,1,2
49,122001,上海市七宝中学,闵行区,公办,市实验性示范性高中,部分寄宿,98,27,9
50,123001,上海市闵行中学,闵行区,公办,市实验性示范性高中,部分寄宿,82,19,1
51,122002,华东师范大学第二附属中学闵行紫竹分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,50,13,2
52,122003,上海师范大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,54,3,7
53,122004,上海交通大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,38,3,0
54,124006,上海市闵行第三中学,闵行区,公办,市特色普通高中,部分寄宿,81,0,0
55,132001,上海市行知中学,宝山区,公办,市实验性示范性高中,部分寄宿,62,6,4
56,132002,上海大学附属中学,宝山区,公办,市实验性示范性高中,全部寄宿,62,8,2
57,133001,上海市吴淞中学,宝山区,公办,市实验性示范性高中,部分寄宿,66,10,6
58,132003,上海师范大学附属中学宝山分校,宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,17,0,0
59,133003,华东师范大学第二附属中学(宝山校区),宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,25,0,0
60,133002,上海师范大学附属宝山罗店中学,宝山区,公办,区实验性示范性高中(市特色普通高中),全部寄宿,76,0,0
61,142001,上海市嘉定区第一中学,嘉定区,公办,市实验性示范性高中,部分寄宿,59,12,2
62,142002,上海交通大学附属中学嘉定分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,74,8,12
63,142004,上海师范大学附属中学嘉定新城分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,18,0,0
64,143001,上海市嘉定区第二中学,嘉定区,公办,区实验性示范性高中(市特色普通高中),部分寄宿,81,0,0
65,152001,上海市建平中学,浦东新区,公办,市实验性示范性高中,部分寄宿,75,9,10
66,152002,上海市进才中学,浦东新区,公办,市实验性示范性高中,部分寄宿,73,6,11
67,152004,上海南汇中学,浦东新区,公办,市实验性示范性高中,部分寄宿,80,3,5
68,153001,上海市洋泾中学,浦东新区,公办,市实验性示范性高中,部分寄宿,65,3,6
69,153004,上海市高桥中学,浦东新区,公办,市实验性示范性高中,部分寄宿,54,3,3
70,153005,上海市川沙中学,浦东新区,公办,市实验性示范性高中,部分寄宿,58,6,4
71,151078,上海中学东校,浦东新区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,56,2,6
72,152005,上海市浦东复旦附中分校,浦东新区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,32,0,3
73,153002,华东师范大学附属东昌中学,浦东新区,公办,区实验性示范性高中(市特色普通高中),部分寄宿,90,6,0
74,154009,上海市香山中学,浦东新区,公办,区实验性示范性高中(市特色普通高中),无寄宿,72,0,0
75,154013,上海海事大学附属北蔡高级中学,浦东新区,公办,区实验性示范性高中(市特色普通高中),部分寄宿,48,0,0
76,162000,上海市金山中学,金山区,公办,市实验性示范性高中,全部寄宿,44,2,2
77,163002,华东师范大学第三附属中学,金山区,公办,市实验性示范性高中,全部寄宿,53,11,2
78,163001,上海师范大学第二附属中学,金山区,公办,区实验性示范性高中(市特色普通高中),部分寄宿,54,2,2
79,164000,华东师范大学附属枫泾中学,金山区,公办,区实验性示范性高中(市特色普通高中),部分寄宿,38,0,1
80,172001,上海市松江二中,松江区,公办,市实验性示范性高中,部分寄宿,54,9,3
81,173001,上海市松江一中,松江区,公办,市实验性示范性高中,部分寄宿,56,11,3
82,172002,华东师范大学第二附属中学松江分校,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,22,5,0
83,172004,上海师范大学附属中学松江分校,松江区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,9,0,0
84,174003,上海外国语大学附属外国语学校松江云间中学,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,49,5,2
85,182001,上海市青浦高级中学,青浦区,公办,市实验性示范性高中,部分寄宿,65,7,1
86,183002,上海市朱家角中学,青浦区,公办,市实验性示范性高中,部分寄宿,62,3,2
87,182002,复旦大学附属中学青浦分校,青浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,36,6,5
88,184005,上海市青浦区第一中学,青浦区,公办,区实验性示范性高中(市特色普通高中),部分寄宿,52,3,0
89,202001,上海市奉贤中学,奉贤区,公办,市实验性示范性高中,全部寄宿,55,8,3
90,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,26,2,2
91,203002,华东理工大学附属奉贤曙光中学,奉贤区,公办,区实验性示范性高中(市特色普通高中),全部寄宿,66,0,0
92,512000,上海市崇明中学,崇明区,公办,市实验性示范性高中,全部寄宿,38,4,2
93,512001,上海市实验学校东滩高级中学,崇明区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,16,0,0
94,514001,上海市崇明区城桥中学,崇明区,公办,区实验性示范性高中(市特色普通高中),部分寄宿,1,0,1
