district,high_school_code,seats,year,total_admission_score,chinese_admission_score,math_admission_score,english_admission_score,physics_admission_score,chemistry_admission_score,politics_admission_score,history_admission_score
嘉定区,042032,10,2025,759.0,146.0,134.0,140.0,,,,
嘉定区,102056,10,2025,762.5,148.0,132.0,144.0,,,,
嘉定区,102057,11,2025,761.5,142.0,137.0,140.0,,,,
嘉定区,152003,10,2025,754.0,146.0,130.0,141.0,,,,
嘉定区,152006,3,2025,726.0,123.0,129.0,129.0,,,,
嘉定区,012001,6,2025,729.5,120.0,126.0,142.0,,,,
嘉定区,012003,8,2025,730.0,128.0,127.0,133.0,,,,
嘉定区,012008,2,2025,701.0,123.0,126.0,118.0,,,,
嘉定区,012010,10,2025,691.5,123.0,110.0,123.0,,,,
嘉定区,042001,3,2025,721.5,125.0,128.0,132.0,,,,
嘉定区,042008,4,2025,742.5,135.0,130.0,138.0,,,,
嘉定区,042035,1,2025,746.5,133.0,135.0,140.0,,,,
嘉定区,043015,2,2025,715.5,125.0,129.0,130.0,,,,
嘉定区,042036,2,2025,754.5,141.0,139.0,135.0,,,,
嘉定区,052001,4,2025,726.5,136.0,129.0,127.0,,,,
嘉定区,052002,5,2025,738.0,139.0,129.0,138.0,,,,
嘉定区,053004,4,2025,713.5,125.0,130.0,136.0,,,,
嘉定区,062002,8,2025,723.0,144.0,122.0,138.0,,,,
嘉定区,062003,4,2025,693.0,133.0,118.0,126.0,,,,
嘉定区,062004,2,2025,698.0,127.0,117.0,128.0,,,,
嘉定区,062011,3,2025,675.0,113.0,116.0,120.0,,,,
嘉定区,064001,5,2025,686.0,114.0,121.0,133.0,,,,
嘉定区,072001,12,2025,723.0,127.0,125.0,134.0,,,,
嘉定区,072002,10,2025,739.5,133.0,138.0,129.0,,,,
嘉定区,073003,9,2025,694.0,112.0,123.0,131.0,,,,
嘉定区,073082,6,2025,,,,,,,,
嘉定区,092001,5,2025,727.5,136.0,128.0,122.0,,,,
嘉定区,092002,3,2025,719.5,140.0,124.0,139.0,,,,
嘉定区,093001,3,2025,689.0,117.0,121.0,117.0,,,,
嘉定区,102004,3,2025,721.5,126.0,130.0,130.0,,,,
嘉定区,102032,5,2025,725.5,125.0,127.0,131.0,,,,
嘉定区,103002,2,2025,720.0,121.0,133.0,132.0,,,,
嘉定区,122001,6,2025,750.5,136.0,136.0,141.0,,,,
嘉定区,123001,10,2025,707.0,133.0,123.0,120.0,,,,
嘉定区,122002,4,2025,745.5,138.0,131.0,136.0,,,,
嘉定区,122003,2,2025,728.5,127.0,123.0,138.0,,,,
嘉定区,132001,6,2025,726.0,122.0,128.0,142.0,,,,
嘉定区,132002,10,2025,723.0,130.0,123.0,133.0,,,,
嘉定区,133001,10,2025,708.0,121.0,122.0,130.0,,,,
嘉定区,132003,4,2025,712.0,118.0,121.0,141.0,,,,
嘉定区,133003,3,2025,,,,,,,,
嘉定区,142001,9,2025,739.5,132.0,137.0,125.0,,,,
嘉定区,142002,10,2025,760.0,138.0,130.0,146.0,,,,
嘉定区,142004,4,2025,730.0,132.0,125.0,133.0,,,,
嘉定区,152001,4,2025,679.5,123.0,109.0,125.0,,,,
嘉定区,152002,8,2025,717.0,134.0,123.0,133.0,,,,
嘉定区,152004,14,2025,693.5,126.0,132.0,108.0,,,,
嘉定区,153001,4,2025,722.5,129.0,125.0,137.0,,,,
嘉定区,153004,6,2025,694.5,128.0,109.0,125.0,,,,
嘉定区,153005,6,2025,716.0,128.0,117.0,144.0,,,,
