code,name,district,type
010001,上海市格致初级中学,黄浦区,公办
010002,上海市向明初级中学,黄浦区,公办
010003,上海市卢湾初级中学,黄浦区,公办
010004,上海市敬业初级中学,黄浦区,公办
010005,上海市大同初级中学,黄浦区,公办
010006,上海市光明初级中学,黄浦区,公办
010007,上海市储能中学,黄浦区,公办
010008,上海市金陵中学,黄浦区,公办
010009,上海市应昌期围棋学校,黄浦区,公办
010010,上海市黄浦学校,黄浦区,公办
010011,上海市民办立达中学,黄浦区,民办
010012,上海市民办明珠中学,黄浦区,民办
010013,上海市民办永昌中学,黄浦区,民办
020001,上海市位育初级中学,徐汇区,公办
020002,上海市第二初级中学,徐汇区,公办
020003,上海市南洋模范初级中学,徐汇区,公办
020004,上海市徐汇中学,徐汇区,公办
020005,上海市第五十四中学,徐汇区,公办
020006,上海市田林第三中学,徐汇区,公办
020007,上海市中国中学,徐汇区,公办
020008,上海市零陵中学,徐汇区,公办
020009,上海市第四中学,徐汇区,公办
020010,上海市南洋初级中学,徐汇区,公办
020011,上海市园南中学,徐汇区,公办
020012,上海市长桥中学,徐汇区,公办
020013,上海市紫阳中学,徐汇区,公办
020014,上海市汾阳中学,徐汇区,公办
020015,上海市龙苑中学,徐汇区,公办
020016,上海市宛平中学,徐汇区,公办
020017,上海市教科院附属中学,徐汇区,公办
020018,上海市徐汇区教育学院附属实验中学,徐汇区,公办
020019,上海市世界外国语中学,徐汇区,民办
020020,上海市西南位育中学,徐汇区,民办
020021,上海市西南模范中学,徐汇区,民办
030001,上海市延安初级中学,长宁区,公办
030002,上海市第三女子初级中学,长宁区,公办
030003,上海市复旦初级中学,长宁区,公办
030004,上海市天山初级中学,长宁区,公办
030005,上海市天山第二中学,长宁区,公办
030006,上海市泸定中学,长宁区,公办
030007,上海市开元学校,长宁区,公办
030008,上海市建青实验学校,长宁区,公办
030009,上海市西郊学校,长宁区,公办
030010,上海市民办新世纪中学,长宁区,民办
040001,上海市市西初级中学,静安区,公办
040002,上海市静安区教育学院附属学校,静安区,公办
040003,上海市七一中学,静安区,公办
040004,上海市民立中学,静安区,公办
040005,上海市培明中学,静安区,公办
040006,上海市爱国学校,静安区,公办
040007,上海市同济大学附属七一中学,静安区,公办
040008,上海市青云中学,静安区,公办
040009,上海市彭浦初级中学,静安区,公办
040010,上海市闸北第八中学,静安区,公办
040011,上海市新中初级中学,静安区,公办
040012,上海市风华初级中学,静安区,公办
040013,上海市上海大学附属市北中学,静安区,公办
040014,上海市静安区实验中学,静安区,公办
040015,上海市朝阳中学,静安区,公办
040016,上海市上外苏河湾实验中学,静安区,公办
040017,上海市田家炳中学,静安区,民办
040018,上海市扬波中学,静安区,民办
040019,上海市上外静安外国语中学,静安区,民办
050001,上海市曹杨第二中学附属学校,普陀区,公办
050002,上海市晋元高级中学附属学校,普陀区,公办
050003,上海市宜川中学附属学校,普陀区,公办
050004,上海市甘泉外国语中学,普陀区,公办
050005,上海市同济大学第二附属中学,普陀区,公办
050006,上海市华东师范大学第四附属中学,普陀区,公办
050007,上海市中远实验学校,普陀区,公办
050008,上海市曹杨中学附属学校,普陀区,公办
050009,上海市上海外国语大学尚阳外国语学校,普陀区,公办
050010,上海市上海外国语大学附属普陀实验学校,普陀区,公办
050011,上海市真如中学,普陀区,公办
050012,上海市洛川学校,普陀区,公办
050013,上海市怒江中学,普陀区,公办
050014,上海市金沙江路学校,普陀区,公办
050015,上海市文达学校,普陀区,公办
050016,上海市桃浦中学,普陀区,公办
050017,上海市进华中学,普陀区,民办
050018,上海市培佳双语学校,普陀区,民办
060001,上海市华东师范大学第一附属初级中学,虹口区,公办
060002,上海市长青学校,虹口区,公办
060003,上海市北郊学校,虹口区,公办
060004,上海市虹口实验学校,虹口区,公办
060005,上海市钟山初级中学,虹口区,公办
060006,上海市江湾初级中学,虹口区,公办
060007,上海市曲阳第二中学,虹口区,公办
060008,上海市复兴实验中学,虹口区,公办
060009,上海市第五十二中学,虹口区,公办
060010,上海市海南中学,虹口区,公办
060011,上海市鲁迅初级中学,虹口区,公办
060012,上海市继光初级中学,虹口区,公办
060013,上海市丰镇中学,虹口区,公办
060014,上海市民办新复兴初级中学,虹口区,民办
060015,上海市民办新华初级中学,虹口区,民办
060016,上海市民办新北郊初级中学,虹口区,民办
070001,上海市复旦大学第二附属学校,杨浦区,公办
070002,上海市控江初级中学,杨浦区,公办
070003,上海市铁岭中学,杨浦区,公办
070004,上海市鞍山初级中学,杨浦区,公办
070005,上海市昆明学校,杨浦区,公办
070006,上海市打虎山路第一中学,杨浦区,公办
070007,上海市杨浦区教育学院附属学校,杨浦区,公办
070008,上海市市光学校,杨浦区,公办
070009,上海市同济初级中学,杨浦区,公办
070010,上海市三门中学,杨浦区,公办
070011,上海市上理初级中学,杨浦区,公办
070012,上海市思源中学,杨浦区,公办
070013,上海市十五中学,杨浦区,公办
070014,上海市杨浦区国和中学,杨浦区,公办
070015,上海市杨浦区平凉路第三小学附属初中,杨浦区,公办
070016,上海民办兰生中学,杨浦区,民办
070017,上海市民办存志学校,杨浦区,民办
070018,上海外国语大学双语学校,杨浦区,民办
110001,上海市进才中学北校,浦东新区,公办
110002,华东师范大学附属东昌中学南校,浦东新区,公办
110003,上海市上南中学东校,浦东新区,公办
110004,上海市上南中学北校,浦东新区,公办
110005,上海市三林中学北校,浦东新区,公办
110006,上海市洪山中学,浦东新区,公办
110007,上海市北蔡中学,浦东新区,公办
110008,上海市张江集团中学,浦东新区,公办
110009,上海市建平中学西校,浦东新区,公办
110010,上海市建平实验中学,浦东新区,公办
110011,上海市洋泾中学东校,浦东新区,公办
110012,上海市高桥中学西校,浦东新区,公办
110013,上海市川沙中学北校,浦东新区,公办
110014,上海市南汇第一中学东校,浦东新区,公办
110015,上海市临港实验中学,浦东新区,公办
110016,上海市实验学校,浦东新区,公办
110017,上海市浦东新区教育学院附属学校,浦东新区,公办
110018,上海市浦东新区明珠小学附属初中,浦东新区,公办
110019,上海市民办平和学校,浦东新区,民办
110020,上海市民办尚德实验学校,浦东新区,民办
110021,上海浦东新区民办协和双语学校,浦东新区,民办
110022,上海浦东新区民办万科学校,浦东新区,民办
080001,上海市闵行区七宝第二中学,闵行区,公办
080002,上海市闵行区莘松中学,闵行区,公办
080003,上海市闵行区上虹中学,闵行区,公办
080004,上海市闵行区龙柏中学,闵行区,公办
080005,上海市闵行区航华中学,闵行区,公办
080006,上海市闵行区罗阳中学,闵行区,公办
080007,上海市闵行区梅陇中学,闵行区,公办
080008,上海市闵行区曹行中学,闵行区,公办
080009,上海市闵行区颛桥中学,闵行区,公办
080010,上海市闵行区吴泾中学,闵行区,公办
080011,上海市闵行区马桥强恕学校,闵行区,公办
080012,上海市闵行区浦江第二中学,闵行区,公办
080013,上海市闵行区实验学校,闵行区,公办
080014,上海市闵行区明星学校,闵行区,公办
080015,上海市闵行区华漕学校,闵行区,公办
080016,上海市文绮中学,闵行区,民办
080017,上海市民办上宝中学,闵行区,民办
080018,上海市民办文来中学,闵行区,民办
090001,上海市宝山区实验学校,宝山区,公办
090002,华东师范大学宝山实验学校,宝山区,公办
090003,上海市宝山区淞谊中学,宝山区,公办
090004,上海市宝山区行知二中,宝山区,公办
090005,上海市宝山区吴淞实验学校,宝山区,公办
090006,上海市宝山区顾村实验学校,宝山区,公办
090007,上海市宝山区杨行中学,宝山区,公办
090008,上海市宝山区罗店中学,宝山区,公办
090009,上海市宝山区大华中学,宝山区,公办
090010,上海市宝山区泗塘中学,宝山区,公办
090011,上海市宝山区通河中学,宝山区,公办
090012,上海民办华曜宝山实验学校,宝山区,民办
100001,上海市嘉定区实验中学,嘉定区,公办
100002,上海市嘉定区迎园中学,嘉定区,公办
100003,上海市嘉定区苏民学校,嘉定区,公办
100004,上海市嘉定区江桥实验中学,嘉定区,公办
100005,上海市嘉定区南翔中学,嘉定区,公办
100006,上海市嘉定区安亭中学,嘉定区,公办
100007,上海市嘉定区方泰中学,嘉定区,公办
100008,上海市嘉定区娄塘学校,嘉定区,公办
100009,上海市民办桃李园实验学校,嘉定区,民办
100010,上海市民办远东学校,嘉定区,民办
110023,上海市建平中学南校,浦东新区,公办
110024,上海市洋泾中学南校,浦东新区,公办
110025,上海市川沙中学南校,浦东新区,公办
110026,上海市南汇第二中学东校,浦东新区,公办
110027,上海市临港第一中学,浦东新区,公办
110028,上海市浦东新区第二中心小学附属初中,浦东新区,公办
110029,上海市浦东新区福山外国语小学附属初中,浦东新区,公办
110030,上海浦东新区民办康德学校,浦东新区,民办
110031,上海浦东新区民办宏文学校,浦东新区,民办
