id,middle_school_code,high_school_code,seats,year,total_admission_score,chinese_admission_score,math_admission_score,english_admission_score,physics_admission_score,chemistry_admission_score,politics_admission_score,history_admission_score,created_at,updated_at
fe05fa3d-7df1-487b-86b8-ecf7efc98bd7,040012,062001,10,2025,737.5,138,124,137,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
505ff93f-283e-4bb1-9ee6-97dc831935fe,040012,062002,9,2025,717.5,126,127,130,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
55f81924-1185-4b99-857b-664af3fa9442,040012,062003,9,2025,705.5,128,120,131,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
4cae7115-7dd0-406c-9736-6ad22217fba0,040012,062004,10,2025,718,123,131,136,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
0fb88ad9-08d8-4157-aea8-b88bb57f06be,040012,062011,5,2025,661.5,125,114,112,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
126e8118-766f-44ef-b0d5-0b910c797fdc,040012,063004,7,2025,659.5,112,122,108,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
4ed0401d-5eea-44be-b4e6-037b9f7b94ed,040012,064001,5,2025,667,114,121,121,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
8d0d92a6-5be2-4e3f-8f98-15ac17d298a2,040025,062001,5,2025,736.5,137,126,134,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
66358d90-acc6-44e4-b7f2-5d0cee453db1,040025,062002,5,2025,715,121,125,127,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
409bbe5a-e15b-4d2a-831f-3a7801ef84df,040025,062003,5,2025,705.5,125,129,120,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
5b5befb2-55e1-4181-be10-3c071d496445,040025,062004,5,2025,727,128,125,132,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
e6a93dc2-920e-496c-85c7-4259e103749f,040025,062011,3,2025,,,,,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
fb41eab3-3cff-4c58-a4d8-e7926a5f4fcb,040025,063004,4,2025,670,111,123,120,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
1aeeb3f8-abc9-4d6e-bd13-b95249125792,040025,064001,3,2025,664,124,123,115,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
287a26c4-6ef8-4a7d-acf8-ba147fa5de39,040028,062001,2,2025,738.5,138,128,137,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
06f08473-bf3f-4462-adb0-bd51b5edac36,040028,062002,2,2025,692,118,126,120,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
6773ad12-b451-41d2-a510-978db6020b19,040028,062003,2,2025,699.5,114,137,116,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
143c4824-029c-4870-8225-ddd6cbeae076,040028,062004,2,2025,712.5,129,128,127,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
7a809eae-afd7-4620-b852-250418171fb1,040028,062011,2,2025,657.5,109,119,107,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
23447a17-d343-4309-9204-d1d62c456692,040028,063004,2,2025,671,110,125,121,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
5b7aa514-1b43-40c7-8c11-580723f5f519,040028,064001,2,2025,676.5,111,117,130,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
41db17c0-f3af-45ac-a3a8-bc44fb359117,040028,152003,1,2025,752,143,129,141,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
6bb8f4f2-10e6-4121-b0bf-caaf189e4142,040017,062001,2,2025,739.5,140,133,132,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
4427bef5-2b8f-4fad-a2ad-0c2c380aca73,040017,062002,2,2025,719,126,129,124,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
d8b8cc9b-fdfc-48a1-814a-c2a3db623334,040017,062003,2,2025,704.5,136,118,126,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
f04d9929-b955-4460-8748-f50f10012ce5,040017,062004,2,2025,712,122,129,124,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
8381c7b8-ee22-4062-bac5-144326c459ef,040017,062011,2,2025,,,,,,,,,2026-02-01 00:31:23,2026-02-01 00:31:23
