code,name,district,type,ownership_type,full_type,address,phone,email,features,faculty,note,created_at,updated_at
012001,上海市格致中学,黄浦区,市重点,公办,市实验性示范性高中,,,,,,含国际课程班,,
012003,上海市大同中学,黄浦区,市重点,公办,市实验性示范性高中,,,,,,含国际课程班,,
012005,上海市向明中学,黄浦区,市重点,公办,市实验性示范性高中,,,,,,,,
012007,上海外国语大学附属大境中学,黄浦区,市重点,公办,市实验性示范性高中,,,,,,,,
012008,上海市光明中学,黄浦区,市重点,公办,市实验性示范性高中,,,,,,,,
012009,上海市敬业中学,黄浦区,市重点,公办,市实验性示范性高中,,,,,,,,
012010,上海市卢湾高级中学,黄浦区,市重点,公办,市实验性示范性高中,,,,,,含国际课程班,,
012002,上海市格致中学(奉贤校区),黄浦区,市重点,公办,享受市实验性示范性高中招生政策高中,,,,,,,,
012006,上海市向明中学(浦江校区),黄浦区,市重点,公办,享受市实验性示范性高中招生政策高中,,,,,,,,
013001,上海市第八中学,黄浦区,区重点,公办,区实验性示范性高中,,,,,,上海市男子高中基地实验班参照市实验性示范性高中的自主招生录取方式,,
013003,上海市第十中学,黄浦区,区重点,公办,区实验性示范性高中,,,,,,,,
013004,上海理工大学附属储能中学,黄浦区,区重点,公办,区实验性示范性高中,,,,,,,,
014001,上海市金陵中学,黄浦区,一般高中,公办,一般高中,,,,,,,,
014003,上海市市南中学,黄浦区,一般高中,公办,一般高中,,,,,,,,
014004,上海音乐学院附属黄浦比乐中学,黄浦区,一般高中,公办,一般高中,,,,,,,,
014006,上海市同济黄浦设计创意中学,黄浦区,一般高中,公办,一般高中,,,,,,,,
042001,上海市第二中学,徐汇区,市重点,公办,市实验性示范性高中,,,,,,,,
042008,上海市南洋模范中学,徐汇区,市重点,公办,市实验性示范性高中,,,,,,,,
042035,上海市位育中学,徐汇区,市重点,公办,市实验性示范性高中,,,,,,,,
043015,上海市南洋中学,徐汇区,市重点,公办,市实验性示范性高中,,,,,,,,
042002,上海市第二中学(梅陇校区),徐汇区,市重点,公办,享受市实验性示范性高中招生政策高中,,,,,,,,
042036,复旦大学附属中学徐汇分校,徐汇区,市重点,公办,享受市实验性示范性高中招生政策高中,,,,,,,,
044109,上海市徐汇中学,徐汇区,区重点,公办,区实验性示范性高中(市特色普通高中),,,,,,,,
044223,上海市紫竹园中学,徐汇区,特色高中,公办,市特色普通高中,,,,,,,,
044103,上海市中国中学,徐汇区,区重点,公办,区实验性示范性高中,,,,,,,,
044107,上海市第五十四中学,徐汇区,区重点,公办,区实验性示范性高中,,,,,,,,
044111,上海市第四中学,徐汇区,区重点,公办,区实验性示范性高中,,,,,,,,
044162,上海市西南位育中学,徐汇区,区重点,民办,区实验性示范性高中,,,,,,含国际课程班,,
041363,上海市世外中学,徐汇区,一般高中,民办,一般高中,,,,,,国际课程班,,
044083,上海市民办西南高级中学,徐汇区,一般高中,民办,一般高中,,,,,,,,
044114,上海市零陵中学,徐汇区,一般高中,公办,一般高中,,,,,,,,
044133,华东理工大学附属中学,徐汇区,一般高中,公办,一般高中,,,,,,,,
044164,上海市西南模范中学,徐汇区,一般高中,民办,一般高中,,,,,,,,
044239,上海市徐汇区董恒甫高级中学,徐汇区,一般高中,公办,一般高中,,,,,,,,
044101,上海市位育附属徐汇科技实验中学,徐汇区,区重点,公办,区实验性示范性高中,,,,,,,,
